Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.custom.ig.nour.json	4189	-	0	0	0	0	0	0	9	81	0	0	0	0	0	0	0	1	0	0	108	69	0	0	0	2	0	1
fsh-generated/resources/Bundle-ExampleBundle.json	2823	14	0	0	0	0	21	0	1	315	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-client-key-population-code-system.json	544	9	0	0	2	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	13	2077	0	0	0	1	0	0
fsh-generated/resources/Organization-EthOrganizationExample.json	600	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	435	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	1979	11	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-client-key-population-extension.json	1689	10	0	0	0	0	0	32	1	56	0	0	0	0	0	0	0	0	0	0	59	627	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eth-organization.json	3039	12	0	0	0	0	0	163	0	194	0	0	0	0	0	0	0	2	0	0	293	1435	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-hiv-patient.json	7387	19	0	0	0	0	0	279	0	300	0	0	0	0	0	0	0	1	0	0	558	1528	0	0	0	16	0	1
fsh-generated/resources/ValueSet-client-key-population-values.json	1110	9	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	12	6013	0	0	0	1	0	0
